Date,Doctor,Specialty,Reason,Notes,Cost
2024-09-18,Dr. James Patel,Cardiology,Heart palpitations,Blood work required,238.02
2024-09-24,Dr. Lisa Chen,Neurology,Dizziness,X-ray scheduled,339.44
2024-09-29,Dr. Priya Nair,Dermatology,Acne treatment,Monitor symptoms at home,243.09
2024-09-30,Dr. Sarah Mitchell,General Practitioner,Routine physical,Blood work required,119.51
2024-10-01,Dr. Priya Nair,Dermatology,Acne treatment,No major concerns found,216.02
2024-10-02,Dr. Kevin Brown,Orthopedics,Fracture follow-up,Continue current medication,163.99
2024-10-03,Dr. James Patel,Cardiology,ECG review,Lab tests ordered,246.25
2024-10-03,Dr. Sarah Mitchell,General Practitioner,Blood pressure review,No major concerns found,125.51
2024-10-06,Dr. Kevin Brown,Orthopedics,Shoulder stiffness,No major concerns found,204.59
2024-10-08,Dr. Omar Hassan,Gastroenterology,IBS follow-up,Monitor symptoms at home,217.93
2024-10-08,Dr. Priya Nair,Dermatology,Mole check,Monitor symptoms at home,234.51
2024-10-09,Dr. Rachel Adams,Endocrinology,Weight management,Prescribed medication for 2 weeks,175.66
2024-10-09,Dr. Priya Nair,Dermatology,Eczema follow-up,No major concerns found,239.84
2024-10-10,Dr. Kevin Brown,Orthopedics,Joint pain,No major concerns found,151.44
2024-10-12,Dr. Omar Hassan,Gastroenterology,Acid reflux,Continue current medication,181.95
2024-10-13,Dr. Omar Hassan,Gastroenterology,Bloating issues,Blood work required,294.1
2024-10-14,Dr. Lisa Chen,Neurology,Dizziness,Continue current medication,361.61
2024-10-16,Dr. Sarah Mitchell,General Practitioner,Flu symptoms,Monitor symptoms at home,138.3
2024-10-17,Dr. Omar Hassan,Gastroenterology,Stomach pain,Monitor symptoms at home,235.39
2024-10-17,Dr. James Patel,Cardiology,Chest pain consultation,Monitor symptoms at home,363.2
2024-10-18,Dr. Kevin Brown,Orthopedics,Joint pain,Blood work required,157.95
2024-10-19,Dr. Mark Thompson,Dentistry,Tooth pain,Monitor symptoms at home,423.0
2024-10-20,Dr. Lisa Chen,Neurology,Sleep disorder,Monitor symptoms at home,279.28
2024-10-21,Dr. Kevin Brown,Orthopedics,Shoulder stiffness,Monitor symptoms at home,229.93
2024-10-21,Dr. Rachel Adams,Endocrinology,Hormone levels,Prescribed medication for 2 weeks,291.98
2024-10-23,Dr. Omar Hassan,Gastroenterology,Bloating issues,Monitor symptoms at home,241.9
2024-10-25,Dr. Priya Nair,Dermatology,Eczema follow-up,Lab tests ordered,125.44
2024-10-25,Dr. Priya Nair,Dermatology,Acne treatment,Monitor symptoms at home,202.93
2024-10-26,Dr. Mark Thompson,Dentistry,Wisdom tooth review,X-ray scheduled,162.97
2024-10-27,Dr. Lisa Chen,Neurology,Sleep disorder,Referred to specialist,282.23
2024-11-01,Dr. Mark Thompson,Dentistry,Wisdom tooth review,Referred to specialist,488.43
2024-11-01,Dr. Rachel Adams,Endocrinology,Blood sugar monitoring,Advised lifestyle changes,221.1
2024-11-02,Dr. Omar Hassan,Gastroenterology,Bloating issues,Prescribed medication for 2 weeks,195.66
2024-11-04,Dr. Sarah Mitchell,General Practitioner,Flu symptoms,No major concerns found,130.12
2024-11-13,Dr. Sarah Mitchell,General Practitioner,Flu symptoms,Follow-up in 4 weeks,146.33
2024-11-17,Dr. Omar Hassan,Gastroenterology,Digestive issues,No major concerns found,278.64
2024-11-23,Dr. James Patel,Cardiology,Chest pain consultation,Referred to specialist,248.98
2024-11-23,Dr. Kevin Brown,Orthopedics,Fracture follow-up,Prescribed medication for 2 weeks,195.81
2024-11-25,Dr. Mark Thompson,Dentistry,Tooth pain,Referred to specialist,155.85
2024-11-26,Dr. Mark Thompson,Dentistry,Gum check,Prescribed medication for 2 weeks,137.22
2024-11-26,Dr. Sarah Mitchell,General Practitioner,Blood pressure review,Monitor symptoms at home,82.34
2024-11-27,Dr. Priya Nair,Dermatology,Mole check,Lab tests ordered,129.28
2024-11-28,Dr. Omar Hassan,Gastroenterology,Bloating issues,X-ray scheduled,243.21
2024-11-29,Dr. Sarah Mitchell,General Practitioner,Annual checkup,No major concerns found,91.64
2024-11-29,Dr. Sarah Mitchell,General Practitioner,Annual checkup,No major concerns found,93.96
2024-11-30,Dr. Sarah Mitchell,General Practitioner,Fatigue and weakness,X-ray scheduled,100.96
2024-12-01,Dr. Priya Nair,Dermatology,Skin rash,Monitor symptoms at home,221.6
2024-12-05,Dr. James Patel,Cardiology,ECG review,Referred to specialist,223.09
2024-12-05,Dr. Omar Hassan,Gastroenterology,Acid reflux,No major concerns found,274.19
2024-12-06,Dr. Omar Hassan,Gastroenterology,Digestive issues,Advised lifestyle changes,272.87
2024-12-07,Dr. James Patel,Cardiology,Blood pressure follow-up,X-ray scheduled,376.83
2024-12-11,Dr. Kevin Brown,Orthopedics,Shoulder stiffness,Follow-up in 4 weeks,338.32
2024-12-12,Dr. Priya Nair,Dermatology,Skin rash,Monitor symptoms at home,242.88
2024-12-14,Dr. Rachel Adams,Endocrinology,Weight management,Follow-up in 4 weeks,213.87
2024-12-17,Dr. Sarah Mitchell,General Practitioner,Fever and cold,Lab tests ordered,136.78
2024-12-18,Dr. Mark Thompson,Dentistry,Cavity filling,Prescribed medication for 2 weeks,192.59
2024-12-19,Dr. Priya Nair,Dermatology,Skin allergy,Prescribed medication for 2 weeks,228.5
2024-12-21,Dr. Priya Nair,Dermatology,Acne treatment,Follow-up in 4 weeks,173.93
2024-12-21,Dr. Lisa Chen,Neurology,Migraine consultation,Prescribed medication for 2 weeks,258.39
2024-12-22,Dr. Mark Thompson,Dentistry,Routine cleaning,X-ray scheduled,199.68
2024-12-23,Dr. Priya Nair,Dermatology,Eczema follow-up,Follow-up in 4 weeks,233.45
2024-12-23,Dr. Kevin Brown,Orthopedics,Joint pain,Continue current medication,196.71
2024-12-25,Dr. Rachel Adams,Endocrinology,Thyroid check,Monitor symptoms at home,242.5
2024-12-25,Dr. James Patel,Cardiology,Heart palpitations,Prescribed medication for 2 weeks,371.72
2024-12-27,Dr. Lisa Chen,Neurology,Sleep disorder,Follow-up in 4 weeks,323.73
2024-12-28,Dr. Sarah Mitchell,General Practitioner,Fever and cold,Follow-up in 4 weeks,143.38
2024-12-29,Dr. Priya Nair,Dermatology,Mole check,X-ray scheduled,121.78
2024-12-31,Dr. Lisa Chen,Neurology,Headache follow-up,Referred to specialist,260.45
